index,year,NOx,NMVOC,SO2,NH3,PM2.5,PM10,TSP,BC,CO
Aviation,2017,14.175712205181958,1.1333812203971867,0.7933093784444756,0.16052798904127988,0.10905647879445818,0.10905647879445818,0.11276496230984195,0.04918736228209618,12.779904312254597
Aviation,2018,14.510552663717059,1.208543961681555,0.8185762838200892,0.16564004424926465,0.11517075619943708,0.11517075619943708,0.11912193238578087,0.051835858858167265,13.298141012248903
Aviation,2019,14.382916643598342,1.2026291459186238,0.8119494016004234,0.1643007928317745,0.1113557495321239,0.1113557495321239,0.11499622946502715,0.050610657448791105,12.79209291615491
Fugitive,1990,8.576296363480001,191.6465541167984,55.62899275979999,0.6045119984999999,0.0,0.0,150.29527199999995,0.0,34.06293280251311
Fugitive,1991,7.311177650494454,180.13762457412327,17.656527579658167,0.2044628519,0.0,0.0,52.3982414892,0.0,29.56982128760834
Fugitive,1992,6.493831337430088,173.74358358229475,16.129398379392292,0.0643808598,0.0,0.0,40.209915558445,0.0,20.902660548406
Fugitive,1993,6.901141772290583,171.07448371350122,16.177151995166263,0.0029385774,0.0,0.0,30.91148086191,0.0,12.195245577069276
Fugitive,1994,6.825170762057422,148.20593148266417,16.01417930884734,0.0026565927,0.0,0.0,23.721311455425,0.0,7.51814281273404
Fugitive,1995,5.095298174287222,128.41059866410984,12.78672543141681,0.0027011165999999997,1.4456792413922221,6.177954274555556,17.12079142328,0.0,5.223974989590689
Fugitive,1996,5.405609053843357,121.00937362011194,13.496394858666417,0.0025940646,1.3685215652739997,5.9231862481999995,16.621979349884615,0.0,5.375307537068499
Fugitive,1997,5.209799511401358,115.8517128570952,13.146867591639625,0.0026140152,1.2893546273915555,5.582204450488889,16.90463849078769,0.0,6.289767698961385
Fugitive,1998,4.799706905420045,107.61229413522513,12.592059736829917,0.002501124,1.164340159352222,5.149480314355556,14.822484460349232,0.0,5.18320239480882
Fugitive,1999,4.059060623848481,96.92518703155201,11.131568717958654,0.0020845943999999996,1.091602937454,4.9128353680000005,13.667981390229231,0.0,4.48400006527689
Fugitive,2000,3.785401839921293,88.37113544910174,10.670071248675832,0.0022176795,1.120728470672222,5.0490692329555555,14.988645605683077,0.057709454178388894,5.440315140473837
Fugitive,2001,3.260376873210075,81.28326795474095,9.82453747638458,0.0017675744999999998,1.1001797490605554,5.124360377088888,13.861049874752307,0.04914777563417222,4.253502185376756
